true negative, false positive, false negative, true positive, precision,vpn precision, recall,vpn recall, f1-score, vpn f1-score, accuracy, cv accuracy, auc, cv auc
56219,1570,2051,4837,0.9648017847949202,0.7549555174028406,0.9728321998996349,0.7022357723577236,0.9688003515453346,0.7276419706656637,0.9440141008395566,0.8848971447646908,0.8375339861286791,0.8396429925911022
56355,1516,1973,4833,0.9661740501988754,0.761222239722791,0.9738038050146014,0.7101087275933,0.9699739240440968,0.7347776510832383,0.9460550118280069,0.8878517046348824,0.8419562663039507,0.8413064401560121
56228,1551,2034,4864,0.9650887370842058,0.7582229150428683,0.973156337077485,0.7051319222963178,0.9691057471066261,0.7307143393675355,0.9445707129273158,0.8861308978748926,0.8391441296869014,0.8383397915873119
56284,1573,2019,4801,0.9653705641219148,0.7532161907750236,0.9728122785488359,0.703958944281525,0.9690771349862258,0.7277550401697741,0.9444624827991404,0.8832691337954621,0.8383856114151804,0.841969084549396
56351,1464,1989,4873,0.9659067535138841,0.7689758560833202,0.9746778517685721,0.7101428155056835,0.9702724807369463,0.7383892719145391,0.946611623915766,0.8880604380408842,0.8424103336371278,0.8445012501314023
56306,1493,2079,4799,0.9643915389226685,0.7627145581691036,0.9741691032716829,0.697731898807793,0.9692556634304208,0.728777524677297,0.9447717117367843,0.8847533649266646,0.8359505010397379,0.8346180579644031
56219,1605,1985,4868,0.9658958147206378,0.7520469643133014,0.9722433591588268,0.7103458339413395,0.9690591926086807,0.7306018310070539,0.9444934056929047,0.8861680275077031,0.8412945965500831,0.8401654428821143
56278,1513,2057,4829,0.9647381503385618,0.7614317250078839,0.973819452855981,0.7012779552715654,0.9692575306132994,0.7301179316601147,0.9448026346305487,0.8864741241381588,0.8375487040637732,0.8405254040916168
56222,1613,2066,4776,0.9645553115564095,0.747534825481296,0.9721103138238091,0.6980415083308974,0.9683180765223083,0.7219408963797144,0.943117336920389,0.8860335374450923,0.8350759110773531,0.8395122621919953
56257,1587,2022,4811,0.9653048267815165,0.751953735542357,0.9725641380264158,0.7040831260061466,0.9689208856126693,0.7272315017761318,0.9441996382021429,0.8847904538970995,0.8383236320162812,0.8385850297490116
56213,1574,2087,4803,0.9642024013722127,0.7531754743609848,0.972762039905169,0.6970972423802613,0.9684633076916451,0.7240521594934801,0.9433956429642686,0.8868544686324557,0.8349296411427152,0.8415775525454479
56372,1488,2063,4754,0.9646958158637803,0.7616148670297982,0.9742827514690633,0.6973742115299986,0.9694655832150996,0.7280802511677771,0.9450964021213105,0.8865808373829006,0.8358284814995309,0.8393502638565643
56172,1541,2089,4875,0.9641441101251266,0.7598192019950125,0.9732989101242354,0.7000287191269385,0.9686998810078121,0.7286995515695067,0.9438749478176168,0.8858943487103508,0.836663814625587,0.841010838914058
